year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
1817,1817-06-24,6.0,South Carolina,SC,"Charleston Harbor, Charleston County",Swimming,False,,M,FATAL,Y,Unprovoked
1830,1830-07-26,7.0,Massachusetts,MA,"Swampscott, Essex County","Fishing from dory, shark upset boat & he fell into the water",False,52.0,M,FATAL,Y,Unprovoked
1837,1837-09-09,9.0,South Carolina,SC,"Magwoods Wharf, Charleston Harbor, Charleston County",Bathing,False,,M,Right foot bittten,N,Unprovoked
1842,1842-07-06,7.0,New Jersey,NJ,"Absecon, Atlantic County",Harassing a shark,False,,,Lacerations to leg  PROVOKED INCIDENT,N,Provoked
1848,1848-08-31,8.0,Maryland,MD,Patapsco River,Swimming,False,15.0,M,Left leg severely bitten,N,Unprovoked
1849,1849-06-08,6.0,Florida,FL,"Pensacola, Escambia County",Bathing,False,,F,FATAL,Y,Unprovoked
1849,1849-06-08,6.0,Florida,FL,"Pensacola, Escambia County",Attempting to rescue woman seized by shark,False,,M,FATAL,Y,Unprovoked
1853,1853-09-28,9.0,North Carolina,NC,"Morehead, Carteret County",Commercial Salvage Diving,False,,M,No injury. Copper breastplate & harness bitten,N,Unprovoked
1855,1855-09-30,9.0,North Carolina,NC,Cape Hatteras,ship William Penn grounded & broke apart,False,,M,Foot bitten,N,Sea Disaster
1858,1858-08-29,8.0,New York,NY,"Staten Island, Richmond County",Swimming,False,,M,Thought to have been taken by a shark/s. Bodies not  recovered,Y,Invalid
1858,1858-08-31,8.0,New York,NY,"Staten Island, Richmond County",Swimming,False,,M,Thought to have been taken by a shark/s. Body not  recovered,Y,Invalid
1859,1859-03-16,3.0,Hawaii,HI,Off Kawaihae,Fell overboard,False,21.0,M,FATAL,,Unprovoked
1860,1860-08-01,8.0,New York,NY,Brooklyn,Swimming,False,,M,Toe severed,N,Unprovoked
1864,1864-08-12,8.0,New York,NY,Mahattan,Swimming,False,13.0,M,Left thigh severely bitten,N,Unprovoked
1865,1865-09-02,9.0,New York,NY,"Greenport Sound, Long Island",Swimming alongside the schooner Catherine Wilcox,False,17.0,M,Multiple lacerations,N,Unprovoked
1870,1870-07-27,7.0,North Carolina,NC,"Smithville (now Southport), Brunswick County",Bathing,False,,M,Foot bitten & toe severed,N,Unprovoked
1873,1873-07-28,7.0,Maryland,MD,Chester River,Fishing (Seining),False,,M,Leg severely bitten by netted shark. Lower leg surgically amputated PROVOKED INCIDENT,N,Provoked
1874,1874-07-15,7.0,New York,NY,Coney Island,Bathing,False,,M,Lacerations to groin,N,Unprovoked
1878,1878-08-08,8.0,New York,NY,Brooklyn,Swimming,False,14.0,M,FATAL,Y,Unprovoked
1878,1878-08-09,8.0,New York,NY,East River,Swimming,False,,M,FATAL?,Y,Unprovoked
1879,1879-07-03,7.0,California,CA,"Los Angeles, Los Angeles County",Bathing,False,,M,No details,N,Unprovoked
1880,1880-07-25,7.0,New York,NY,The Narrows,Sailing,False,,M,"Shark bit stern, no injury to occupant",N,Boating
1881,1881-06-13,6.0,Alabama,AL,Mobile Bay,Fell overboard,False,23.0,M,FATAL,Y,Unprovoked
